developer_id,user_role,years_experience,programming_language,prompt_type,code_prompt,uses_ai,domain,ai_tool,usage_frequency,task_type,acceptance_rate,time_saved,satisfaction_rating
f02a9c51-344c-4516-9440-8c472d4d2633,Senior,4,Python,template,Implementar el algoritmo bubble sort en Python. La función debe recibir an array of integers y devolver the array sorted in ascending order.,True,Mobile Apps,Microsoft Copilot,Weekly,Algorithm Design,0.8,0.28,1
4bd81f99-8ba0-452e-ae46-5ab20cc73704,Estudiante,19,C++,template,Implementar el algoritmo bubble sort en C++. La función debe recibir an array of integers y devolver the array sorted in ascending order.,True,Web Development,DeepSeek,Weekly,Algorithm Design,0.67,0.4,2
2d0e431f-f09c-4bb3-aa0c-715940014b87,Junior,18,C++,cot,"To implement the bubble sort algorithm in C++, follow these steps:
1. Define a function that accepts the array
2. Iterate through the array multiple times
3. Swap elements if the left is greater than the right
Now write the complete implementation.",False,Machine Learning,,,,0.0,0.0,0
1b7e9769-ea84-4485-80c0-6d7beb3f9122,Docente,1,JavaScript,cot,"To implement the bubble sort algorithm in JavaScript, follow these steps:
1. Define a function that accepts the array
2. Iterate through the array multiple times
3. Swap elements if the left is greater than the right
Now write the complete implementation.",True,Backend Systems,Claude,Daily,Optimization,0.6,0.32,1
3176741d-4cc4-401f-bfe9-25282f71ad43,Tech Lead,12,Java,template,Implementar el algoritmo bubble sort en Java. La función debe recibir an array of integers y devolver the array sorted in ascending order.,True,Backend Systems,DeepSeek,Daily,Optimization,0.36,0.15,1
e5ebe708-20a4-486d-b8ef-6d54394ed3d4,Tech Lead,18,Java,template,Implementar el algoritmo bubble sort en Java. La función debe recibir an array of integers y devolver the array sorted in ascending order.,True,Backend Systems,Microsoft Copilot,Weekly,Documentation,0.87,0.31,1
feba6ad4-9fd9-4cab-9279-001775e02df9,Docente,8,Python,cot,"To implement the bubble sort algorithm in Python, follow these steps:
1. Define a function that accepts the array
2. Iterate through the array multiple times
3. Swap elements if the left is greater than the right
Now write the complete implementation.",True,Backend Systems,Claude,Daily,Documentation,0.55,0.25,2
4048fccc-6b45-4a80-9b4d-48b2e1dc4346,Estudiante,9,TypeScript,template,Implementar el algoritmo bubble sort en TypeScript. La función debe recibir an array of integers y devolver the array sorted in ascending order.,True,DevOps,ChatGPT,Daily,Optimization,0.73,0.3,3
64169a79-e6ff-4a70-9176-88e98ef46c29,Senior,18,JavaScript,template,Implementar el algoritmo bubble sort en JavaScript. La función debe recibir an array of integers y devolver the array sorted in ascending order.,False,Web Development,,,,0.0,0.0,0
5558d1fd-a8cc-4805-8d34-30b561a2d833,Senior,11,C++,template,Implementar el algoritmo bubble sort en C++. La función debe recibir an array of integers y devolver the array sorted in ascending order.,False,Web Development,,,,0.0,0.0,0
