developer_id,user_role,years_experience,programming_language,prompt_type,code_prompt,uses_ai,domain,ai_tool,usage_frequency,task_type,acceptance_rate,time_saved,satisfaction_rating
4be33787-0594-4a44-b44e-71bc58ce8c57,Senior,4,Python,template,Implementar el algoritmo bubble sort en Python. La función debe recibir an array of integers y devolver the array sorted in ascending order.,True,Mobile Apps,Microsoft Copilot,Weekly,Algorithm Design,0.8,0.28,1
828aba31-dec8-4612-a8be-57b561e5a517,Estudiante,19,C++,template,Implementar el algoritmo bubble sort en C++. La función debe recibir an array of integers y devolver the array sorted in ascending order.,True,Web Development,DeepSeek,Weekly,Algorithm Design,0.67,0.4,2
0734034b-6d30-47e1-b4e8-87b4b64ce447,Junior,18,C++,cot,"To implement the bubble sort algorithm in C++, follow these steps:
1. Define a function that accepts the array
2. Iterate through the array multiple times
3. Swap elements if the left is greater than the right
Now write the complete implementation.",False,Machine Learning,,,,0.0,0.0,0
59579755-2430-4065-903c-b49f724bb2f9,Docente,1,JavaScript,cot,"To implement the bubble sort algorithm in JavaScript, follow these steps:
1. Define a function that accepts the array
2. Iterate through the array multiple times
3. Swap elements if the left is greater than the right
Now write the complete implementation.",True,Backend Systems,Claude,Daily,Optimization,0.6,0.32,1
bc6b120d-e3bf-45a2-8987-0917986a999e,Tech Lead,12,Java,template,Implementar el algoritmo bubble sort en Java. La función debe recibir an array of integers y devolver the array sorted in ascending order.,True,Backend Systems,DeepSeek,Daily,Optimization,0.36,0.15,1
a65c2ee3-6997-4871-bd9c-39b21117b0dc,Tech Lead,18,Java,template,Implementar el algoritmo bubble sort en Java. La función debe recibir an array of integers y devolver the array sorted in ascending order.,True,Backend Systems,Microsoft Copilot,Weekly,Documentation,0.87,0.31,1
98fbf71e-fd86-401d-9e76-e73d80500782,Docente,8,Python,cot,"To implement the bubble sort algorithm in Python, follow these steps:
1. Define a function that accepts the array
2. Iterate through the array multiple times
3. Swap elements if the left is greater than the right
Now write the complete implementation.",True,Backend Systems,Claude,Daily,Documentation,0.55,0.25,2
26f07737-e60b-445e-ae87-90c78120feec,Estudiante,9,TypeScript,template,Implementar el algoritmo bubble sort en TypeScript. La función debe recibir an array of integers y devolver the array sorted in ascending order.,True,DevOps,ChatGPT,Daily,Optimization,0.73,0.3,3
38e31fe5-8c03-4020-a47d-8fae25c4d198,Senior,18,JavaScript,template,Implementar el algoritmo bubble sort en JavaScript. La función debe recibir an array of integers y devolver the array sorted in ascending order.,False,Web Development,,,,0.0,0.0,0
ba820f2e-8ef8-4ba6-9282-cfa4f24f8c5a,Senior,11,C++,template,Implementar el algoritmo bubble sort en C++. La función debe recibir an array of integers y devolver the array sorted in ascending order.,False,Web Development,,,,0.0,0.0,0
